Name,RA_deg,Dec_deg,NHI_c,NHI_c_std,NHI_w,NHI_w_std,NHI_u,NHI_u_std,f_c,f_c_std,Tsky,Note,LMC_x
J054539-661715,86.42,-66.29,2.47,1.96,14.55,0.32,0.00,0.00,0.15,0.10,3.00,?,(x)
J054552-684612,86.47,-68.77,3.44,1.05,43.32,0.78,0.00,0.00,0.07,0.02,2.73,"blazar? (green Spitzer + X-ray at ~12"")",(x)
J054608-712741,86.54,-71.46,0.98,0.29,30.35,0.35,0.00,0.00,0.03,0.01,2.73,?,(x)
J054623-665544,86.60,-66.93,2.92,0.83,4.90,0.24,0.00,0.00,0.37,0.07,2.73,?,(x)
J054629-702643,86.62,-70.45,3.77,0.60,34.01,1.94,0.00,0.00,0.10,0.02,2.73,"? (brownish Spitzer at ~7"")",(x)
J055033-682053,87.64,-68.35,5.81,0.98,19.10,0.55,0.00,0.00,0.23,0.03,5.55,?,(x)
J055130-691631,87.88,-69.28,1.41,0.46,22.80,0.63,0.00,0.00,0.06,0.02,2.73,radio galaxy (z=2.226),x
J055139-684315,87.91,-68.72,4.38,0.74,17.27,0.52,0.00,0.00,0.20,0.03,2.73,"radio galaxy / QSO? (z=1.595) at 10""",x
J055142-684302,87.93,-68.72,6.23,1.17,13.96,0.26,0.00,0.00,0.31,0.04,2.73,radio galaxy / QSO? (z=1.595),x
J055206-681440,88.02,-68.24,2.42,0.37,13.03,0.32,0.00,0.00,0.16,0.02,5.65,"? (green Spitzer at ~10"")",(x)
J055220-702147,88.08,-70.36,0.52,0.09,11.70,0.31,0.00,0.00,0.04,0.01,8.80,?,(x)
J055227-694801,88.11,-69.80,0.78,0.12,14.54,0.47,0.00,0.00,0.05,0.01,4.62,?,(x)
J055613-692332,89.06,-69.39,1.61,0.55,9.99,0.39,0.00,0.00,0.14,0.04,2.73,"? (dim green Spitzer + bright green Spitzer at ~10"")",(x)
J055636-720648,89.15,-72.11,0.59,0.10,3.26,0.17,0.00,0.00,0.15,0.02,2.73,?,(x)
J055653-682229,89.22,-68.37,3.02,0.76,8.42,0.49,0.00,0.00,0.26,0.05,2.73,?,(x)
